camera_id,year,working_days,species,events,longitude,latitude
DJC-EE-03,2018.0,309,东北虎 Panthera tigris altaica,1,128.17625,44.01601
DJC-EE-05,2020.0,333,东北虎 Panthera tigris altaica,1,128.20043,44.00291
DJC-EE-08,2016.0,280,东北虎 Panthera tigris altaica,1,128.29047,43.9704
DJC-EE-08,2017.0,202,东北虎 Panthera tigris altaica,2,128.29047,43.9704
DJC-EE-08,2018.0,365,东北虎 Panthera tigris altaica,1,128.29047,43.9704
DJC-ES-01,2017.0,345,东北虎 Panthera tigris altaica,1,128.31162,44.05654
DJC-ES-04,2017.0,336,东北虎 Panthera tigris altaica,1,128.29035,44.01631
DJC-EY-02,2015.0,78,东北虎 Panthera tigris altaica,1,128.28072,44.07954
DJC-EY-03,2017.0,234,东北虎 Panthera tigris altaica,1,128.29086,44.09979
DJC-EY-03,2018.0,365,东北虎 Panthera tigris altaica,1,128.29086,44.09979
DJC-EY-03,2020.0,320,东北虎 Panthera tigris altaica,1,128.29086,44.09979
DJC-EY-06,2019.0,358,东北虎 Panthera tigris altaica,1,128.37892,44.13268
DJC-EY-08,2015.0,133,东北虎 Panthera tigris altaica,2,128.21104,44.05
DJC-EY-09,2015.0,133,东北虎 Panthera tigris altaica,2,128.22878,44.0645
DJC-EY-09,2020.0,67,东北虎 Panthera tigris altaica,1,128.22878,44.0645
HNH-MLG-05,2017.0,223,东北虎 Panthera tigris altaica,2,128.10703,43.96263
HNH-MLG-07,2016.0,333,东北虎 Panthera tigris altaica,3,128.12867,43.95264
HNH-MLG-07,2017.0,187,东北虎 Panthera tigris altaica,1,128.12867,43.95264
HNH-MLG-07,2020.0,290,东北虎 Panthera tigris altaica,1,128.12867,43.95264
HNH-MLG-08,2016.0,366,东北虎 Panthera tigris altaica,1,128.133815,43.941486
DHL-HL-01,2016.0,200,野猪 Sus scrofa,1,128.21562,44.149
DHL-HL-01,2018.0,341,野猪 Sus scrofa,2,128.21562,44.149
DHL-HL-01,2019.0,365,野猪 Sus scrofa,4,128.21562,44.149
DHL-HL-01,2020.0,210,野猪 Sus scrofa,2,128.21562,44.149
DHL-HL-02,2017.0,346,野猪 Sus scrofa,1,128.24184,44.16454
DHL-HL-02,2018.0,254,野猪 Sus scrofa,4,128.24184,44.16454
DHL-HL-02,2019.0,267,野猪 Sus scrofa,4,128.24184,44.16454
DHL-HL-03,2018.0,196,野猪 Sus scrofa,1,128.23148968,44.19899969
DHL-HL-03,2020.0,286,野猪 Sus scrofa,1,128.23148968,44.19899969
