camera_id,year,working_days,东北虎 Panthera tigris altaica,野猪 Sus scrofa,狍 Capreolus pygargus,马鹿 Cervus elaphus,黑熊 Ursus thibetanus,棕熊 Ursus arctos,亚洲狗獾 Meles leucurus,貉 Nyctereutes procyonoides,原麝 Moschus moschiferus,黄鼬 Mustela sibirica,紫貂 Martes zibellina,黄喉貂 Martes flavigula,豹猫 Prionailurus bengalensis,松鼠 Sciurus vulgaris,北花松鼠 Tamias sibiricus,东北刺猬 Erinaceus amurensis,东北兔 Lepus mandshuricus,獐 Hydropotes inermis,白背啄木鸟 Dendrocopos leucotos,白腹鸫 Turdus pallidus,白鹡鸰 Motacilla alba,白眉地鸫 Geokichla sibirica,白眉鹀 Emberiza tristrami,斑鸫 Turdus eunomus,苍鹰 Accipiter gentilis,大斑啄木鸟 Dendrocopos major,大杜鹃 Cuculus canorus,大嘴乌鸦 Corvus macrorhynchos,黑啄木鸟 Dryocopus martius,红胁蓝尾鸲 Tarsiger cyanurus,虎斑地鸫 Zoothera aurea,花尾榛鸡 Tetrastes bonasia,环颈雉 Phasianus colchicus,黄喉鹀 Emberiza elegans,灰背鸫 Turdus hortulorum,灰鹡鸰 Motacilla cinerea,灰头绿啄木鸟 Picus canus,普通䴓 Sitta europaea,普通鵟 Buteo japonicus,丘鹬 Scolopax rusticola,山斑鸠 Streptopelia orientalis,松雀鹰 Accipiter virgatus,松鸦 Garrulus glandarius,锡嘴雀 Coccothraustes coccothraustes,小嘴乌鸦 Corvus corone,星鸦 Nucifraga caryocatactes,鸳鸯 Aix galericulata,长尾林鸮 Strix uralensis,沼泽山雀 Poecile palustris,未知UN 
DHL-HL-01,2015.0,139,0,0,2,0,0,0,1,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
DHL-HL-01,2016.0,200,0,1,17,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-01,2017.0,242,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-01,2018.0,341,0,2,12,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-01,2019.0,365,0,4,25,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-01,2020.0,210,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-02,2015.0,68,0,0,3,0,0,0,0,0,0,5,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-02,2016.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHL-HL-02,2017.0,346,0,1,9,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DHL-HL-02,2018.0,254,0,4,5,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
