rank,species,class,national_protection,independent_events,rai
1,狍 Capreolus pygargus,Mammal,,5057,5.740524218723395
2,野猪 Sus scrofa,Mammal,,941,1.068189299944377
3,松鼠 Sciurus vulgaris,Mammal,,880,0.9989442975037744
4,亚洲狗獾 Meles leucurus,Mammal,,792,0.8990498677533969
5,紫貂 Martes zibellina,Mammal,Ⅰ,315,0.3575766519473738
6,马鹿 Cervus elaphus,Mammal,Ⅱ,304,0.3450898482285766
7,北花松鼠 Tamias sibiricus,Mammal,,293,0.3326030445097794
8,黄喉貂 Martes flavigula,Mammal,Ⅱ,184,0.2088701712962437
9,东北兔 Lepus mandshuricus,Mammal,,117,0.1328141850090245
10,黄鼬 Mustela sibirica,Mammal,,114,0.1294086930857162
11,松鸦 Garrulus glandarius,Bird,,97,0.1101109055203024
12,花尾榛鸡 Tetrastes bonasia,Bird,Ⅱ,69,0.0783263142360914
13,白腹鸫 Turdus pallidus,Bird,,63,0.0715153303894747
14,灰背鸫 Turdus hortulorum,Bird,,60,0.0681098384661664
15,豹猫 Prionailurus bengalensis,Mammal,Ⅱ,56,0.063569182568422
16,虎斑地鸫 Zoothera aurea,Bird,,46,0.0522175428240609
17,山斑鸠 Streptopelia orientalis,Bird,,43,0.0488120509007526
18,大嘴乌鸦 Corvus macrorhynchos,Bird,,33,0.0374604111563915
19,黑熊 Ursus thibetanus,Mammal,Ⅱ,33,0.0374604111563915
20,环颈雉 Phasianus colchicus,Bird,,31,0.0351900832075193
21,东北刺猬 Erinaceus amurensis,Mammal,,30,0.0340549192330832
22,星鸦 Nucifraga caryocatactes,Bird,,27,0.0306494273097749
23,东北虎 Panthera tigris altaica,Mammal,Ⅰ,26,0.0295142633353387
24,灰头绿啄木鸟 Picus canus,Bird,,24,0.0272439353864665
25,棕熊 Ursus arctos,Mammal,Ⅱ,23,0.0261087714120304
26,貉 Nyctereutes procyonoides,Mammal,Ⅱ,22,0.0249736074375943
27,白眉地鸫 Geokichla sibirica,Bird,,22,0.0249736074375943
28,长尾林鸮 Strix uralensis,Bird,Ⅱ,20,0.0227032794887221
29,原麝 Moschus moschiferus,Mammal,Ⅰ,18,0.0204329515398499
30,苍鹰 Accipiter gentilis,Bird,Ⅱ,13,0.0147571316676693
31,斑鸫 Turdus eunomus,Bird,,13,0.0147571316676693
32,红胁蓝尾鸲 Tarsiger cyanurus,Bird,,10,0.011351639744361
33,白背啄木鸟 Dendrocopos leucotos,Bird,,8,0.0090813117954888
34,普通䴓 Sitta europaea,Bird,,7,0.0079461478210527
35,白鹡鸰 Motacilla alba,Bird,,6,0.0068109838466166
36,小嘴乌鸦 Corvus corone,Bird,,6,0.0068109838466166
37,鸳鸯 Aix galericulata,Bird,Ⅱ,5,0.0056758198721805
38,沼泽山雀 Poecile palustris,Bird,,5,0.0056758198721805
39,灰鹡鸰 Motacilla cinerea,Bird,,4,0.0045406558977444
40,黄喉鹀 Emberiza elegans,Bird,,3,0.0034054919233083
41,丘鹬 Scolopax rusticola,Bird,,2,0.0022703279488722
42,松雀鹰 Accipiter virgatus,Bird,Ⅱ,2,0.0022703279488722
43,獐 Hydropotes inermis,Mammal,Ⅱ,1,0.0011351639744361
44,普通鵟 Buteo japonicus,Bird,Ⅱ,1,0.0011351639744361
45,大杜鹃 Cuculus canorus,Bird,,1,0.0011351639744361
46,大斑啄木鸟 Dendrocopos major,Bird,,1,0.0011351639744361
47,黑啄木鸟 Dryocopus martius,Bird,Ⅱ,1,0.0011351639744361
48,锡嘴雀 Coccothraustes coccothraustes,Bird,,1,0.0011351639744361
49,白眉鹀 Emberiza tristrami,Bird,,1,0.0011351639744361
