species,year,sites_occupied,new_sites,lost_sites
狍 Capreolus pygargus,2015,38,,
狍 Capreolus pygargus,2016,61,DHL-HY-01;DHL-HY-02;DHL-QJ-02;DJC-EE-06;DJC-EE-07;DJC-EE-10;DJC-ES-03;DJC-ES-05;DJC-XBG-01;DJC-XBG-02;HNH-BDY-04;HNH-BDY-33;HNH-BDY-34;HNH-DL-24;HNH-DL-26;HNH-DL-28;HNH-DL-30;HNH-MLG-07;HNH-MLG-08;HNH-MLG-10;HNH-MLG-21;HNH-MLG-22;HNH-MLG-35;HNH-XBC-02;HNH-XBC-03,DHL-HL-02;DHL-HL-04
狍 Capreolus pygargus,2017,57,DHL-HL-02;DHL-HL-04;DJC-EE-09;DJC-ES-06;HNH-DL-25;HNH-MLG-23;HNH-MLG-31;HNH-MLG-36,DJC-EE-02;DJC-EE-03;DJC-EE-06;DJC-EY-13;DJC-EY-14;HNH-BDY-33;HNH-DL-13;HNH-DL-15;HNH-DL-24;HNH-HP-16;HNH-MLG-07;HNH-MLG-10
狍 Capreolus pygargus,2018,67,DJC-EE-02;DJC-EE-03;DJC-EY-13;DJC-EY-14;HNH-BDY-33;HNH-DL-13;HNH-DL-15;HNH-DL-24;HNH-DL-27;HNH-HP-16;HNH-MLG-07;HNH-MLG-10;HNH-MLG-12;HNH-MLG-32,HNH-BDY-04;HNH-DL-14;HNH-DL-26;HNH-MLG-11
狍 Capreolus pygargus,2019,63,DJC-EE-06;HNH-DL-14;HNH-DL-26;HNH-MLG-11,DHL-HY-02;DJC-EE-10;DJC-XBG-02;HNH-BDY-33;HNH-DL-28;HNH-MLG-08;HNH-MLG-12;HNH-MLG-32
狍 Capreolus pygargus,2020,59,HNH-BDY-04;HNH-BDY-33;HNH-MLG-08;HNH-MLG-32,DJC-ES-02;DJC-ES-06;DJC-EY-07;DJC-EY-10;DJC-XBG-01;HNH-BDY-34;HNH-XBC-02;HNH-XBC-03
野猪 Sus scrofa,2015,13,,
野猪 Sus scrofa,2016,41,DHL-HL-01;DHL-QJ-02;DHL-QJ-03;DJC-EE-01;DJC-EE-02;DJC-EE-05;DJC-EE-08;DJC-ES-02;DJC-ES-04;DJC-ES-05;DJC-EY-02;DJC-EY-05;DJC-EY-09;DJC-EY-10;DJC-EY-11;DJC-EY-12;HNH-BDY-34;HNH-DL-15;HNH-DL-24;HNH-DL-28;HNH-DL-30;HNH-MLG-05;HNH-MLG-08;HNH-MLG-10;HNH-MLG-12;HNH-MLG-21;HNH-MLG-22;HNH-MLG-31;HNH-MLG-32;HNH-MLG-35;HNH-SMC-18;HNH-XBC-02,DJC-EE-03;DJC-EY-07;HNH-DL-13;HNH-MLG-11
野猪 Sus scrofa,2017,38,DHL-HL-02;DHL-HL-04;DJC-EE-04;DJC-EY-01;DJC-EY-07;HNH-BDY-33;HNH-DL-13;HNH-DL-25;HNH-DL-26;HNH-MLG-11;HNH-MLG-23;HNH-MLG-36;HNH-XBC-03,DHL-HL-01;DJC-EE-02;DJC-EE-05;DJC-EE-07;DJC-EE-08;DJC-ES-01;DJC-ES-02;DJC-ES-04;DJC-EY-02;DJC-EY-05;DJC-EY-09;DJC-EY-12;HNH-DL-15;HNH-HP-16;HNH-MLG-22;HNH-SMC-18
野猪 Sus scrofa,2018,51,DHL-HL-01;DHL-HL-03;DHL-HY-02;DHL-QJ-01;DJC-EE-02;DJC-EE-03;DJC-EE-05;DJC-EE-06;DJC-EE-07;DJC-EE-08;DJC-ES-01;DJC-ES-02;DJC-ES-03;DJC-ES-04;DJC-ES-06;DJC-EY-14;DJC-XBG-01;HNH-DL-15;HNH-DL-27;HNH-HP-16;HNH-MLG-22;HNH-SMC-18,DHL-QJ-03;DJC-EE-04;DJC-EY-07;DJC-EY-10;HNH-BDY-04;HNH-BDY-33;HNH-DL-26;HNH-MLG-11;HNH-MLG-31
野猪 Sus scrofa,2019,45,DHL-QJ-03;DJC-EY-06;DJC-EY-07;DJC-EY-09;DJC-EY-10;DJC-EY-12;DJC-EY-13;HNH-DL-26,DHL-HL-03;DHL-HY-02;DJC-EE-03;DJC-EE-07;DJC-EE-08;DJC-EE-10;DJC-ES-01;DJC-ES-06;HNH-DL-28;HNH-MLG-05;HNH-MLG-08;HNH-MLG-12;HNH-MLG-35;HNH-XBC-03
野猪 Sus scrofa,2020,21,DHL-HL-03;DHL-HY-01;DJC-EE-03;HNH-MLG-05;HNH-MLG-11;HNH-MLG-35,DHL-HL-02;DHL-HL-04;DHL-QJ-03;DJC-EE-05;DJC-EE-06;DJC-ES-02;DJC-ES-04;DJC-EY-01;DJC-EY-07;DJC-EY-10;DJC-EY-12;DJC-EY-13;DJC-EY-14;DJC-XBG-01;HNH-BDY-34;HNH-DL-15;HNH-DL-24;HNH-DL-26;HNH-DL-27;HNH-DL-30;HNH-HP-16;HNH-HP-17;HNH-MLG-07;HNH-MLG-10;HNH-MLG-21;HNH-MLG-22;HNH-MLG-32;HNH-MLG-36;HNH-SMC-18;HNH-XBC-02
